epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.921,1.23867,1.95649,1.10759,0.93016,0.85796,0.94161,0.64866,1.05871,1.71936,1.04066,0.000662005,0.000662005,0.000662005
2,216.029,1.2102,1.2883,1.11624,0.79895,0.8773,0.8889,0.55485,1.17806,1.68061,1.1222,0.00130236,0.00130236,0.00130236
3,315.3,1.18361,1.11293,1.10217,0.93481,0.91718,0.95888,0.67211,1.0507,1.07902,1.04851,0.00191632,0.00191632,0.00191632
4,422.252,1.17761,1.01257,1.09517,0.89028,0.91104,0.93828,0.64781,1.06531,1.21604,1.07684,0.0018812,0.0018812,0.0018812
